epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.7,0.69,0.5,0.53,0.57,0.69
1,0.69,0.69,0.5,0.53,0.52,0.69
2,0.69,0.69,0.5,0.53,0.49,0.69
3,0.69,0.69,0.51,0.53,0.47,0.69
4,0.69,0.69,0.52,0.53,0.49,0.69
5,0.69,0.69,0.52,0.53,0.5,0.69
6,0.69,0.69,0.52,0.53,0.49,0.69
7,0.69,0.69,0.51,0.53,0.5,0.69
8,0.69,0.69,0.52,0.53,0.5,0.69
9,0.69,0.69,0.51,0.53,0.5,0.69
10,0.69,0.69,0.52,0.53,0.51,0.69
11,0.69,0.69,0.52,0.53,0.51,0.69
12,0.69,0.69,0.52,0.55,0.52,0.7
13,0.69,0.69,0.52,0.55,0.51,0.7
14,0.69,0.69,0.52,0.55,0.51,0.7
15,0.69,0.69,0.52,0.55,0.51,0.7
16,0.69,0.69,0.52,0.55,0.53,0.7
17,0.69,0.69,0.53,0.53,0.53,0.68
18,0.69,0.69,0.52,0.53,0.51,0.68
19,0.69,0.69,0.52,0.53,0.52,0.68
20,0.69,0.68,0.52,0.55,0.53,0.69
21,0.69,0.68,0.52,0.57,0.52,0.71
22,0.69,0.68,0.52,0.57,0.52,0.7
23,0.69,0.68,0.53,0.6,0.52,0.72
24,0.69,0.68,0.53,0.62,0.53,0.74
25,0.68,0.68,0.54,0.62,0.53,0.74
26,0.68,0.68,0.54,0.6,0.53,0.71
27,0.68,0.68,0.53,0.6,0.53,0.71
28,0.68,0.68,0.53,0.62,0.54,0.74
29,0.68,0.68,0.54,0.6,0.53,0.71
30,0.68,0.68,0.53,0.6,0.53,0.71
31,0.68,0.67,0.54,0.6,0.54,0.71
32,0.68,0.67,0.54,0.62,0.54,0.74
33,0.68,0.67,0.54,0.6,0.55,0.72
34,0.68,0.67,0.54,0.62,0.55,0.74
35,0.68,0.67,0.54,0.62,0.55,0.74
36,0.68,0.67,0.55,0.6,0.55,0.71
37,0.68,0.67,0.54,0.62,0.55,0.74
38,0.67,0.67,0.55,0.62,0.55,0.74
39,0.67,0.67,0.55,0.6,0.57,0.72
40,0.67,0.67,0.55,0.65,0.56,0.75
41,0.67,0.67,0.55,0.62,0.56,0.74
42,0.67,0.66,0.55,0.62,0.57,0.74
43,0.67,0.66,0.55,0.62,0.57,0.74
44,0.67,0.66,0.55,0.65,0.56,0.75
45,0.67,0.66,0.55,0.65,0.56,0.75
46,0.67,0.66,0.55,0.65,0.56,0.75
47,0.67,0.66,0.55,0.65,0.57,0.75
48,0.67,0.66,0.55,0.65,0.56,0.75
49,0.67,0.66,0.55,0.68,0.56,0.76
50,0.67,0.66,0.56,0.68,0.56,0.76
51,0.67,0.66,0.55,0.68,0.56,0.76
52,0.67,0.66,0.56,0.65,0.56,0.75
53,0.67,0.66,0.56,0.65,0.57,0.75
54,0.67,0.66,0.56,0.65,0.57,0.75
55,0.66,0.65,0.56,0.65,0.57,0.75
56,0.66,0.65,0.56,0.65,0.57,0.75
57,0.66,0.65,0.56,0.65,0.57,0.75
58,0.66,0.65,0.56,0.7,0.57,0.78
59,0.66,0.65,0.56,0.68,0.57,0.75
60,0.66,0.65,0.56,0.7,0.57,0.78
61,0.66,0.65,0.56,0.72,0.57,0.78
62,0.66,0.65,0.57,0.72,0.57,0.79
63,0.66,0.65,0.56,0.7,0.57,0.77
64,0.66,0.65,0.57,0.72,0.57,0.78
65,0.66,0.64,0.57,0.7,0.58,0.77
66,0.66,0.64,0.57,0.7,0.58,0.77
67,0.66,0.64,0.57,0.7,0.58,0.77
68,0.66,0.64,0.57,0.7,0.58,0.77
69,0.66,0.64,0.57,0.68,0.58,0.75
70,0.66,0.64,0.57,0.7,0.58,0.76
71,0.66,0.64,0.57,0.7,0.58,0.76
72,0.66,0.64,0.58,0.7,0.58,0.76
73,0.66,0.64,0.58,0.68,0.59,0.75
74,0.66,0.64,0.58,0.68,0.58,0.75
75,0.66,0.64,0.58,0.68,0.58,0.73
76,0.66,0.63,0.58,0.68,0.59,0.73
77,0.66,0.63,0.58,0.68,0.59,0.75
78,0.66,0.63,0.59,0.65,0.59,0.72
79,0.66,0.63,0.58,0.65,0.59,0.72
80,0.66,0.63,0.58,0.68,0.58,0.73
81,0.66,0.63,0.58,0.68,0.58,0.73
82,0.65,0.63,0.58,0.65,0.59,0.72
83,0.65,0.63,0.58,0.68,0.59,0.73
84,0.65,0.63,0.59,0.68,0.59,0.73
85,0.65,0.63,0.58,0.68,0.59,0.73
86,0.65,0.63,0.59,0.68,0.59,0.73
87,0.65,0.63,0.59,0.68,0.59,0.73
88,0.65,0.63,0.58,0.68,0.59,0.73
89,0.65,0.62,0.59,0.68,0.59,0.73
90,0.65,0.62,0.59,0.68,0.59,0.73
91,0.65,0.62,0.59,0.65,0.59,0.72
92,0.65,0.62,0.59,0.68,0.59,0.73
93,0.65,0.62,0.59,0.65,0.59,0.72
94,0.65,0.62,0.59,0.65,0.59,0.72
95,0.65,0.62,0.59,0.68,0.59,0.73
96,0.65,0.62,0.59,0.65,0.59,0.71
97,0.65,0.62,0.59,0.65,0.59,0.72
98,0.65,0.62,0.59,0.65,0.59,0.71
99,0.65,0.62,0.59,0.65,0.59,0.72
