epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.69,0.69,0.5,0.47,0.41,0.0
1,0.69,0.69,0.51,0.47,0.35,0.0
2,0.69,0.69,0.51,0.47,0.34,0.0
3,0.69,0.69,0.51,0.53,0.39,0.3
4,0.69,0.69,0.52,0.55,0.34,0.25
5,0.69,0.69,0.52,0.5,0.35,0.47
6,0.69,0.69,0.52,0.47,0.41,0.55
7,0.69,0.69,0.53,0.53,0.46,0.61
8,0.68,0.69,0.53,0.53,0.48,0.61
9,0.68,0.69,0.54,0.55,0.52,0.64
10,0.68,0.69,0.55,0.55,0.54,0.69
11,0.68,0.69,0.55,0.55,0.56,0.69
12,0.67,0.69,0.55,0.57,0.56,0.7
13,0.67,0.68,0.56,0.55,0.58,0.69
14,0.66,0.68,0.57,0.53,0.59,0.68
15,0.66,0.67,0.57,0.55,0.59,0.7
16,0.66,0.66,0.58,0.55,0.59,0.7
17,0.65,0.66,0.59,0.55,0.6,0.7
18,0.65,0.65,0.59,0.55,0.6,0.7
19,0.64,0.64,0.6,0.55,0.6,0.7
20,0.64,0.63,0.6,0.53,0.6,0.68
21,0.64,0.63,0.6,0.55,0.6,0.69
22,0.64,0.62,0.6,0.6,0.6,0.71
23,0.64,0.61,0.61,0.62,0.6,0.73
24,0.63,0.61,0.61,0.62,0.6,0.73
25,0.63,0.6,0.61,0.65,0.6,0.74
26,0.63,0.6,0.61,0.68,0.6,0.75
27,0.63,0.6,0.61,0.72,0.59,0.78
28,0.63,0.59,0.62,0.75,0.6,0.8
29,0.63,0.59,0.62,0.8,0.6,0.83
30,0.63,0.59,0.62,0.8,0.59,0.83
31,0.63,0.58,0.62,0.8,0.59,0.83
32,0.62,0.58,0.62,0.78,0.6,0.81
33,0.62,0.58,0.62,0.8,0.59,0.83
34,0.62,0.57,0.62,0.8,0.59,0.83
35,0.62,0.57,0.62,0.78,0.59,0.8
36,0.62,0.57,0.63,0.78,0.6,0.8
37,0.62,0.57,0.63,0.78,0.59,0.8
38,0.62,0.57,0.63,0.78,0.59,0.8
39,0.62,0.57,0.63,0.78,0.59,0.8
40,0.62,0.56,0.63,0.72,0.59,0.74
41,0.62,0.56,0.63,0.72,0.59,0.74
42,0.61,0.56,0.63,0.72,0.59,0.74
43,0.62,0.56,0.63,0.7,0.59,0.71
44,0.61,0.56,0.63,0.72,0.59,0.73
45,0.62,0.56,0.63,0.7,0.59,0.71
46,0.61,0.56,0.63,0.72,0.59,0.74
47,0.61,0.56,0.63,0.72,0.59,0.74
48,0.61,0.55,0.63,0.7,0.59,0.71
49,0.62,0.56,0.63,0.72,0.58,0.73
50,0.61,0.56,0.63,0.7,0.59,0.71
51,0.61,0.55,0.63,0.7,0.58,0.71
52,0.61,0.56,0.63,0.68,0.59,0.68
53,0.61,0.55,0.63,0.68,0.59,0.68
54,0.61,0.55,0.63,0.7,0.58,0.7
55,0.61,0.55,0.64,0.72,0.59,0.73
56,0.61,0.55,0.63,0.7,0.59,0.7
57,0.61,0.55,0.64,0.7,0.59,0.7
58,0.61,0.55,0.64,0.7,0.59,0.7
59,0.61,0.55,0.64,0.68,0.59,0.68
60,0.61,0.55,0.64,0.7,0.59,0.7
61,0.61,0.55,0.63,0.7,0.58,0.7
62,0.61,0.55,0.63,0.7,0.58,0.7
63,0.61,0.55,0.64,0.7,0.59,0.7
64,0.61,0.55,0.64,0.7,0.59,0.7
65,0.61,0.55,0.64,0.7,0.59,0.7
66,0.61,0.54,0.64,0.7,0.59,0.7
67,0.61,0.54,0.64,0.7,0.59,0.7
68,0.61,0.54,0.64,0.72,0.58,0.72
69,0.61,0.55,0.64,0.7,0.58,0.7
70,0.61,0.54,0.64,0.72,0.58,0.72
71,0.61,0.54,0.64,0.75,0.58,0.74
72,0.61,0.54,0.64,0.7,0.58,0.7
73,0.61,0.55,0.64,0.7,0.58,0.7
74,0.61,0.54,0.64,0.75,0.58,0.74
75,0.61,0.54,0.64,0.72,0.58,0.72
76,0.61,0.54,0.64,0.72,0.59,0.72
77,0.6,0.54,0.64,0.7,0.59,0.7
78,0.61,0.54,0.64,0.75,0.58,0.74
79,0.61,0.54,0.64,0.75,0.58,0.74
80,0.61,0.54,0.64,0.72,0.58,0.72
81,0.61,0.54,0.64,0.72,0.58,0.72
82,0.6,0.54,0.65,0.72,0.59,0.72
83,0.6,0.54,0.64,0.75,0.58,0.74
84,0.61,0.54,0.64,0.72,0.58,0.72
85,0.6,0.54,0.64,0.72,0.58,0.72
86,0.6,0.54,0.65,0.78,0.59,0.76
87,0.6,0.54,0.64,0.75,0.58,0.74
88,0.6,0.54,0.65,0.78,0.58,0.76
89,0.6,0.54,0.65,0.78,0.58,0.76
90,0.6,0.54,0.65,0.75,0.58,0.74
91,0.6,0.54,0.64,0.78,0.58,0.76
92,0.6,0.53,0.64,0.78,0.58,0.76
93,0.6,0.54,0.65,0.78,0.59,0.76
94,0.6,0.54,0.65,0.78,0.59,0.76
95,0.6,0.53,0.65,0.78,0.58,0.76
96,0.6,0.54,0.65,0.78,0.59,0.76
97,0.6,0.53,0.64,0.78,0.58,0.76
98,0.6,0.53,0.65,0.78,0.59,0.76
99,0.6,0.54,0.65,0.75,0.58,0.74
